	text	janneke	daan	mats
289	her	O	O	O
290	Bachelor	O	O	O
291	of	O	O	O
292	Science	O	O	O
293	and	O	O	O
294	Master	O	O	O
295	of	O	O	O
296	Science	O	O	O
297	degrees	O	O	O
298	in	O	O	O
299	electrical	O	O	O
300	engineering	O	O	O
301	and	O	O	O
302	her	O	O	O
303	PhD	O	O	O
304	in	O	O	O
305	computer	O	O	O
306	vision	O	O	O
307	in	O	O	O
308	2017	B	B	B
309	.	O	O	O
310	Gebru	O	O	O
311	was	O	O	O
312	advised	O	O	O
313	during	O	O	O
314	her	O	O	O
315	PhD	O	O	O
316	program	O	O	O
317	by	O	O	O
318	Fei-Fei	O	O	O
319	Li	O	O	O
320	.	O	O	O
321	During	O	O	O
322	the	O	O	O
323	2008	B	B	B
324	United	O	O	O
325	States	O	O	O
326	presidential	O	O	O
327	election	O	O	O
328	,	O	O	O
329	Gebru	O	O	O
330	canvassed	O	O	O
331	in	O	O	O
332	support	O	O	O
333	of	O	O	O
334	Barack	O	O	O
335	Obama	O	O	O
336	.	O	O	O
337	Gebru	O	O	O
338	presented	O	O	O
339	her	O	O	O
340	doctoral	O	O	O
341	research	O	O	O
342	at	O	O	O
343	the	O	O	O
344	2017	B	B	B
345	LDV	O	O	O
346	Capital	O	O	O
347	Vision	O	O	O
348	Summit	O	O	O
349	competition	O	O	O
350	,	O	O	O
351	where	O	O	O
352	computer	O	O	O
353	vision	O	O	O
354	scientists	O	O	O
355	present	O	O	O
356	their	O	O	O
357	work	O	O	O
358	to	O	O	O
359	members	O	O	O
360	of	O	O	O
361	industry	O	O	O
362	and	O	O	O
363	venture	O	O	O
364	capitalists	O	O	O
365	.	O	O	O
366	Gebru	O	O	O
367	won	O	O	O
368	the	O	O	O
369	competition	O	O	O
370	,	O	O	O
371	starting	O	O	O
372	a	O	O	O
373	series	O	O	O
374	of	O	O	O
375	collaborations	O	O	O
376	with	O	O	O
377	other	O	O	O
378	entrepreneurs	O	O	O
379	and	O	O	O
380	investors	O	O	O
381	.	O	O	O
382	Career	O	O	O
383	.	O	O	O
384	2004	B	B	B
385	-	I	I	I
386	2013	I	I	I
387	:	O	O	O
388	Software	O	O	O
389	development	O	O	O
390	at	O	O	O
391	Apple	O	O	O
392	.	O	O	O
393	Gebru	O	O	O
394	joined	O	O	O
395	Apple	O	O	O
396	as	O	O	O
397	an	O	O	O
398	intern	O	O	O
399	while	O	O	O
400	at	O	O	O
401	Stanford	O	O	O
402	in	O	O	O
403	2003	B	B	B
404	,	O	O	O
405	and	O	O	O
406	was	O	O	O
407	offered	O	O	O
408	a	O	O	O
409	full-time	O	O	O
410	position	O	O	O
411	the	O	O	O
412	following	O	O	O
413	year	O	O	O
414	.	O	O	O
415	During	O	O	O
416	her	O	O	O
417	tenure	O	O	O
418	at	O	O	O
419	Apple	O	O	O
420	,	O	O	O
421	Gebru	O	O	O
422	became	O	O	O
423	more	O	O	O
424	interested	O	O	O
425	in	O	O	O
426	building	O	O	O
427	software	O	O	O
428	,	O	O	O
429	namely	O	O	O
430	computer	O	O	O
431	vision	O	O	O
432	that	O	O	O
433	could	O	O	O
434	detect	O	O	O
435	human	O	O	O
436	figures	O	O	O
437	.	O	O	O
438	She	O	O	O
439	went	O	O	O
440	on	O	O	O
441	to	O	O	O
442	develop	O	O	O
443	signal	O	O	O
444	processing	O	O	O
445	algorithms	O	O	O
446	for	O	O	O
447	the	O	O	O
448	first	O	O	O
449	iPad	O	O	O
450	.	O	O	O
451	2013	B	B	B
452	-	I	I	I
453	2017	I	I	I
454	:	O	O	O
455	Research	O	O	O
456	at	O	O	O
457	Stanford	O	O	O
458	and	O	O	O
459	Microsoft	O	O	O
460	.	O	O	O
461	In	O	O	O
462	2013	B	B	B
463	,	O	O	O
464	Gebru	O	O	O
465	joined	O	O	O
466	Fei-Fei	O	O	O
467	Li	O	O	O
468	's	O	O	O
469	lab	O	O	O
470	at	O	O	O
471	Stanford	O	O	O
472	.	O	O	O
473	She	O	O	O
474	used	O	O	O
475	data	O	O	O
476	mining	O	O	O
477	of	O	O	O
478	publicly	O	O	O
479	available	O	O	O
480	images	O	O	O
481	.	O	O	O
482	In	O	O	O
483	the	O	O	O
484	summer	B	B	O
485	of	I	I	O
486	2017	I	I	B
487	,	O	O	O
488	Gebru	O	O	O
489	joined	O	O	O
490	Microsoft	O	O	O
491	as	O	O	O
492	a	O	O	O
493	postdoctoral	O	O	O
494	researcher	O	O	O
495	in	O	O	O
496	the	O	O	O
497	Fairness	O	O	O
498	,	O	O	O
499	Accountability	O	O	O
500	,	O	O	O
501	Transparency	O	O	O
502	,	O	O	O
503	and	O	O	O
504	Ethics	O	O	O
505	in	O	O	O
506	AI	O	O	O
507	(	O	O	O
508	FATE	O	O	O
509	)	O	O	O
510	lab	O	O	O
511	.While	O	O	O
512	at	O	O	O
513	Microsoft	O	O	O
514	,	O	O	O
515	Gebru	O	O	O
516	co-authored	O	O	O
517	a	O	O	O
518	research	O	O	O
519	paper	O	O	O
520	called	O	O	O
521	``	O	O	O
522	Gender	O	O	O
523	Shades	O	O	O
524	''	O	O	O
525	that	O	O	O
526	investigated	O	O	O
527	facial	O	O	O
528	recognition	O	O	O
529	software	O	O	O
530	,	O	O	O
531	finding	O	O	O
532	that	O	O	O
533	Black	O	O	O
534	women	O	O	O
535	were	O	O	O
536	35	O	O	O
537	%	O	O	O
538	less	O	O	O
539	likely	O	O	O
540	to	O	O	O
541	be	O	O	O
542	recognised	O	O	O
543	than	O	O	O
544	White	O	O	O
545	men	O	O	O
546	.	O	O	O
547	2018	B	B	B
548	-	I	I	I
549	2020	I	I	I
550	:	O	O	O
551	Artificial	O	O	O
552	intelligence	O	O	O
553	ethics	O	O	O
554	at	O	O	O
555	Google	O	O	O
556	.	O	O	O
557	Gebru	O	O	O
558	joined	O	O	O
559	Google	O	O	O
560	in	O	O	O
561	2018	B	B	B
562	,	O	O	O
563	where	O	O	O
564	she	O	O	O
565	co-led	O	O	O
566	a	O	O	O
567	team	O	O	O
568	on	O	O	O
569	the	O	O	O
570	ethics	O	O	O
571	of	O	O	O
572	artificial	O	O	O
573	intelligence	O	O	O
574	with	O	O	O
575	Margaret	O	O	O
576	Mitchell	O	O	O
577	.	O	O	O
578	She	O	O	O
579	studied	O	O	O
580	the	O	O	O
581	implications	O	O	O
582	of	O	O	O
583	artificial	O	O	O
584	intelligence	O	O	O
585	,	O	O	O
586	looking	O	O	O
587	to	O	O	O
588	improve	O	O	O
589	the	O	O	O
590	ability	O	O	O
591	of	O	O	O
592	technology	O	O	O
593	to	O	O	O
594	do	O	O	O
595	social	O	O	O
596	good	O	O	O
597	.	O	O	O
598	In	O	O	O
599	December	B	B	B
600	2020	I	I	I
601	,	O	O	O
602	her	O	O	O
603	employment	O	O	O
604	with	O	O	O
605	Google	O	O	O
606	ended	O	O	O
607	after	O	O	O
608	higher	O	O	O
609	Google	O	O	O
610	managers	O	O	O
611	asked	O	O	O
612	her	O	O	O
613	to	O	O	O
614	either	O	O	O
615	withdraw	O	O	O
616	the	O	O	O
617	as-yet-unpublished	O	O	O
618	paper	O	O	O
619	or	O	O	O
620	remove	O	O	O
621	the	O	O	O
622	names	O	O	O
623	of	O	O	O
624	all	O	O	O
625	the	O	O	O
626	Google	O	O	O
627	employees	O	O	O
628	from	O	O	O
629	that	O	O	O
630	paper	O	O	O
631	.	O	O	O
632	She	O	O	O
633	and	O	O	O
634	five	O	O	O
635	others	O	O	O
636	coauthored	O	O	O
637	a	O	O	O
638	research	O	O	O
639	paper	O	O	O
640	,	O	O	O
641	``	O	O	O
642	On	O	O	O
643	the	O	O	O
644	Dangers	O	O	O
645	of	O	O	O
646	Stochastic	O	O	O
647	Parrots	O	O	O
648	:	O	O	O
649	Can	O	O	O
650	Language	O	O	O
651	Models	O	O	O
652	Be	O	O	O
653	Too	O	O	O
654	Big	O	O	O
655	?	O	O	O
656	``	O	O	O
657	,	O	O	O
658	that	O	O	O
659	covered	O	O	O
660	the	O	O	O
661	risks	O	O	O
662	of	O	O	O
663	very	O	O	O
664	large	O	O	O
665	language	O	O	O
666	models	O	O	O
667	,	O	O	O
668	regarding	O	O	O
669	their	O	O	O
670	environmental	O	O	O
671	and	O	O	O
672	financial	O	O	O
673	costs	O	O	O
674	,	O	O	O
675	inscrutability	O	O	O
676	leading	O	O	O
677	to	O	O	O
678	unknown	O	O	O
679	dangerous	O	O	O
680	biases	O	O	O
681	,	O	O	O
682	the	O	O	O
683	inability	O	O	O
684	of	O	O	O
685	the	O	O	O
686	models	O	O	O
687	to	O	O	O
688	understand	O	O	O
689	the	O	O	O
690	concepts	O	O	O
691	underlying	O	O	O
692	what	O	O	O
693	they	O	O	O
694	learn	O	O	O
695	,	O	O	O
696	and	O	O	O
697	the	O	O	O
698	potential	O	O	O
699	for	O	O	O
700	using	O	O	O
701	them	O	O	O
702	to	O	O	O
703	deceive	O	O	O
704	people	O	O	O
705	.	O	O	O
706	2021	B	B	B
707	-	I	I	I
708	present	I	I	I
709	:	O	O	O
710	Independent	O	O	O
711	research	O	O	O
712	.	O	O	O
713	In	O	O	O
714	June	B	B	B
715	2021	I	I	I
716	,	O	O	O
717	Gebru	O	O	O
718	announced	O	O	O
719	that	O	O	O
720	she	O	O	O
721	was	O	O	O
722	raising	O	O	O
723	money	O	O	O
724	to	O	O	O
725	launch	O	O	O
726	an	O	O	O
727	independent	O	O	O
728	research	O	O	O
729	institute	O	O	O
730	modeled	O	O	O
731	on	O	O	O
732	her	O	O	O
733	work	O	O	O
734	on	O	O	O
735	Google	O	O	O
736	's	O	O	O
737	Ethical	O	O	O
738	AI	O	O	O
739	team	O	O	O
740	and	O	O	O
741	her	O	O	O
742	experience	O	O	O
743	in	O	O	O
744	Black	O	O	O
745	in	O	O	O
746	AI	O	O	O
747	.	O	O	O
748	On	O	O	O
749	2	B	B	B
750	December	I	I	I
751	2021	I	I	I
752	she	O	O	O
753	launched	O	O	O
754	the	O	O	O
755	Distributed	O	O	O
756	Artificial	O	O	O
757	Intelligence	O	O	O
758	Research	O	O	O
759	Institute	O	O	O
760	(	O	O	O
761	DAIR	O	O	O
762	)	O	O	O
763	,	O	O	O
764	which	O	O	O
765	is	O	O	O
766	expected	O	O	O
767	to	O	O	O
768	document	O	O	O
769	the	O	O	O
770	effect	O	O	O
771	of	O	O	O
772	artificial	O	O	O
773	intelligence	O	O	O
774	on	O	O	O
775	marginalized	O	O	O
776	groups	O	O	O
777	,	O	O	O
778	with	O	O	O
779	a	O	O	O
780	focus	O	O	O
781	on	O	O	O
782	Africa	O	O	O
783	and	O	O	O
784	African	O	O	O
785	immigrants	O	O	O
786	in	O	O	O
787	the	O	O	O
788	United	O	O	O
789	States	O	O	O
790	.	O	O	O
791	Text	O	O	O
792	from	O	O	O
793	https	O	O	O
794	:	O	O	O
795	//en.wikipedia.org/wiki/Timnit_Gebru	O	O	O
796	,	O	O	O
797	adapted	O	O	O
798	by	O	O	O
799	the	O	O	O
800	teaching	O	O	O
801	team	O	O	O
802	.	O	O	O
