index,f_g_small_i_count,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_fullstop_wo_whitespace_count,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_emoticons_count,f_i_happy_emoticons_count,f_i_question_count,f_i_exclamation_count,f_o_sentiment_score_neg,f_o_sentiment_score_neu,f_o_sentiment_score_pos,f_o_he_she_ratio,f_o_swear_word_count,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,f_p_pos_common_noun_ratio,f_p_pos_proper_noun_ratio,f_p_pos_base_adjective_ratio,f_p_pos_comparative_adjective_ratio,f_p_pos_superlative_adjective_ratio,f_p_pos_base_adverb_ratio,f_p_pos_comparative_adverb_ratio,f_p_pos_superlative_adverb_ratio,f_p_pos_infinitive_verb_ratio,f_p_pos_present_tense_1st_2nd_person_verb_ratio,f_p_pos_present_tense_3rd_person_verb_ratio,f_p_pos_past_tense_verb_ratio,f_p_pos_present_participle_verb_ratio,f_p_pos_past_participle_verb_ratio,f_p_pos_modal_auxiliary_verb_ratio,f_p_pos_pronoun_ratio,f_p_pos_genetive_ratio,f_p_pos_interjection_ratio,f_p_pos_foreign_word_ratio,f_p_pos_numeral_ratio,f_p_pos_parenthesis_ratio
69,0,2,18,0,0,0,26,9,0,0,8,1,0.35410997,0.524936,0.120954014,3.0,0,3060,751,59,200,1,126,558,27,0,103,188,3.389,3.389,2.216,2.216,2.43,0.25,0.0,0.791,0.153,0.077,0.041,0.0,0.003,0.049,0.0,0.0,0.041,0.019,0.011,0.053,0.015,0.005,0.012,0.099,0.0,0.001,0.0,0.004,0.0
1315,0,0,10,0,0,0,0,13,0,0,0,0,0.14832626,0.62514025,0.22653346,2.8,1,3023,710,35,139,0,76,523,26,0,115,158,3.535,3.535,2.078,2.078,2.582,0.223,0.0,0.771,0.125,0.037,0.031,0.0,0.001,0.066,0.001,0.001,0.023,0.024,0.004,0.099,0.027,0.013,0.007,0.145,0.0,0.003,0.0,0.004,0.0
3008,0,0,15,0,0,0,1,15,0,0,3,8,0.7181008,0.25623462,0.025664566,0.36,2,3031,685,56,123,0,78,496,27,0,62,181,3.661,3.661,2.241,2.241,2.412,0.264,0.0,0.796,0.14,0.032,0.026,0.001,0.001,0.036,0.0,0.0,0.026,0.022,0.004,0.092,0.016,0.018,0.007,0.187,0.0,0.001,0.0,0.001,0.0
1344,0,0,26,5,0,0,0,29,0,0,7,12,0.210246,0.6714024,0.11835159,1.5,1,3079,752,60,199,0,94,548,27,0,97,182,3.451,3.451,2.03,2.03,2.49,0.242,0.0,0.786,0.142,0.055,0.044,0.003,0.001,0.04,0.001,0.0,0.025,0.009,0.032,0.062,0.013,0.02,0.016,0.074,0.0,0.003,0.0,0.004,0.0
195,0,0,16,1,0,0,2,18,1,1,6,5,0.11591174,0.6273761,0.2567122,0.4444444444444444,0,3013,699,55,146,2,83,494,27,0,83,213,3.611,3.611,2.255,2.255,2.171,0.305,0.0,0.819,0.114,0.041,0.04,0.0,0.001,0.062,0.003,0.0,0.046,0.021,0.007,0.074,0.023,0.01,0.01,0.142,0.0,0.003,0.0,0.004,0.003
532,0,3,24,1,0,0,2,22,2,1,9,6,0.4058846,0.42963532,0.16448015,1.3333333333333333,2,3083,757,63,192,0,94,575,26,0,122,215,3.419,3.419,2.153,2.153,2.351,0.284,0.0,0.81,0.119,0.052,0.049,0.0,0.0,0.041,0.0,0.0,0.033,0.017,0.008,0.074,0.029,0.004,0.005,0.12,0.0,0.003,0.0,0.001,0.001
2833,0,0,20,3,0,0,0,17,0,0,9,0,0.29909876,0.51584506,0.18505618,0.125,1,3093,723,61,155,0,81,525,27,0,115,188,3.555,3.555,2.398,2.398,2.443,0.26,0.0,0.795,0.127,0.025,0.041,0.001,0.001,0.048,0.001,0.0,0.029,0.017,0.004,0.1,0.012,0.017,0.007,0.158,0.0,0.001,0.0,0.011,0.003
874,0,6,12,0,0,0,0,18,0,0,0,0,0.120984875,0.72036684,0.15864827,0.4074074074074074,1,3076,729,37,118,0,128,560,26,0,100,142,3.475,3.475,1.872,1.872,2.848,0.195,0.0,0.752,0.122,0.089,0.012,0.001,0.0,0.058,0.0,0.0,0.019,0.012,0.012,0.114,0.012,0.011,0.01,0.123,0.0,0.001,0.0,0.005,0.0
2339,0,0,3,0,0,0,3,9,0,0,3,6,0.34781834,0.52282184,0.12935983,11.0,1,2957,682,40,168,4,84,500,26,0,86,201,3.609,3.609,2.242,2.242,2.281,0.295,0.0,0.813,0.138,0.07,0.05,0.004,0.0,0.054,0.0,0.0,0.025,0.019,0.007,0.062,0.034,0.012,0.004,0.094,0.0,0.003,0.001,0.012,0.009
2242,0,0,0,0,0,0,1,0,0,0,1,0,0.6489116,0.31707034,0.03401804,0.3,3,3015,641,25,76,0,34,432,27,0,42,208,3.874,3.874,2.318,2.318,2.18,0.324,0.0,0.826,0.184,0.017,0.047,0.002,0.0,0.039,0.0,0.0,0.048,0.006,0.069,0.014,0.034,0.02,0.014,0.098,0.0,0.0,0.0,0.008,0.003
1011,0,0,15,0,0,0,2,17,0,0,2,0,0.32238197,0.5640779,0.11354011,0.7692307692307693,4,3057,703,56,139,0,91,506,27,0,71,187,3.637,3.637,2.139,2.139,2.328,0.266,0.0,0.798,0.124,0.063,0.043,0.004,0.0,0.054,0.004,0.0,0.036,0.026,0.003,0.074,0.017,0.023,0.006,0.121,0.0,0.0,0.0,0.006,0.006
1829,0,0,19,0,0,0,0,25,0,0,10,1,0.31459925,0.57066923,0.11473156,1.1818181818181819,1,3028,708,48,195,0,74,502,27,0,117,198,3.654,3.654,2.39,2.39,2.416,0.28,0.0,0.806,0.168,0.047,0.045,0.003,0.003,0.044,0.0,0.0,0.028,0.011,0.004,0.066,0.028,0.008,0.01,0.158,0.0,0.001,0.0,0.001,0.0
3020,0,0,16,1,0,0,0,20,0,0,6,6,0.1638716,0.60545325,0.23067512,15.0,1,3086,722,53,214,1,89,519,27,0,112,225,3.602,3.602,2.264,2.264,2.256,0.312,0.0,0.823,0.165,0.075,0.048,0.001,0.001,0.035,0.0,0.003,0.025,0.011,0.006,0.071,0.028,0.007,0.008,0.089,0.0,0.001,0.0,0.0,0.0
227,0,1,14,2,0,0,2,15,0,0,3,4,0.19558679,0.64276993,0.16164325,1.2857142857142858,14,3093,686,55,130,0,80,474,26,0,66,209,3.765,3.765,2.302,2.302,2.294,0.305,0.0,0.818,0.162,0.048,0.038,0.0,0.003,0.045,0.001,0.0,0.031,0.017,0.001,0.087,0.022,0.016,0.009,0.099,0.0,0.001,0.0,0.0,0.006
812,0,0,19,4,0,0,0,17,0,0,5,7,0.48888913,0.47411403,0.0369968,0.45454545454545453,0,3093,713,53,153,0,67,515,25,0,55,191,3.583,3.583,2.01,2.01,2.345,0.268,0.0,0.799,0.154,0.032,0.029,0.003,0.001,0.031,0.001,0.0,0.036,0.004,0.006,0.093,0.013,0.01,0.015,0.135,0.0,0.001,0.0,0.004,0.0
840,0,0,6,0,0,0,2,11,0,0,1,1,0.25438592,0.6371736,0.10844046,4.333333333333333,2,3042,666,37,120,0,73,454,27,1,66,219,3.809,3.809,2.307,2.307,2.155,0.329,0.0,0.829,0.165,0.035,0.062,0.006,0.0,0.053,0.0,0.0,0.038,0.014,0.003,0.08,0.024,0.011,0.011,0.111,0.0,0.002,0.0,0.002,0.003
555,0,0,11,0,0,0,0,18,0,0,2,1,0.5335056,0.4078062,0.05868818,1.0,6,3035,758,51,166,0,94,572,26,0,150,202,3.34,3.34,2.099,2.099,2.354,0.266,0.0,0.801,0.162,0.059,0.042,0.0,0.004,0.042,0.001,0.0,0.047,0.022,0.008,0.065,0.018,0.013,0.007,0.117,0.0,0.007,0.0,0.001,0.0
581,0,0,8,0,0,0,0,22,0,0,6,1,0.08579231,0.6998256,0.21438204,4.75,0,3043,714,46,174,0,107,495,25,0,92,179,3.588,3.588,2.178,2.178,2.505,0.251,0.0,0.789,0.118,0.049,0.056,0.003,0.001,0.06,0.0,0.0,0.024,0.017,0.0,0.088,0.017,0.008,0.007,0.123,0.0,0.003,0.0,0.01,0.003
2886,0,1,12,1,0,0,1,12,0,0,2,0,0.23245357,0.6402039,0.12734261,3.3333333333333335,0,3082,686,32,119,0,75,489,26,0,88,189,3.77,3.77,2.425,2.425,2.302,0.276,0.0,0.803,0.155,0.067,0.036,0.001,0.003,0.044,0.0,0.0,0.038,0.02,0.006,0.063,0.026,0.013,0.01,0.092,0.0,0.0,0.0,0.0,0.006
2704,0,0,19,0,0,0,0,19,0,0,8,0,0.097759284,0.5685151,0.33372554,0.8571428571428571,0,3049,704,40,126,4,89,516,26,1,115,163,3.597,3.597,2.153,2.153,2.598,0.232,0.0,0.777,0.139,0.064,0.028,0.001,0.001,0.036,0.0,0.0,0.027,0.033,0.017,0.078,0.028,0.006,0.009,0.134,0.0,0.004,0.0,0.001,0.0
1003,0,21,5,0,0,1,0,13,0,0,3,12,0.37823695,0.54219913,0.07956386,2.0,0,3091,679,33,133,12,206,492,26,1,105,158,3.77,3.77,2.265,2.265,2.46,0.233,0.0,0.776,0.1,0.146,0.027,0.0,0.001,0.049,0.0,0.0,0.041,0.041,0.046,0.027,0.013,0.015,0.003,0.115,0.0,0.0,0.0,0.021,0.0
1018,0,0,7,0,0,0,0,11,0,0,4,0,0.5777346,0.3767563,0.04550905,0.6666666666666666,1,3093,680,46,115,4,68,483,26,0,64,192,3.787,3.787,2.274,2.274,2.305,0.282,0.0,0.806,0.156,0.032,0.05,0.003,0.001,0.041,0.003,0.001,0.032,0.015,0.003,0.094,0.029,0.012,0.006,0.116,0.0,0.0,0.0,0.004,0.0
2905,1,0,27,0,0,0,0,30,0,0,6,4,0.14877462,0.6697497,0.18147567,0.6363636363636364,0,2989,722,53,179,0,91,533,26,0,122,192,3.526,3.526,2.244,2.244,2.516,0.266,0.0,0.799,0.137,0.058,0.044,0.0,0.001,0.066,0.0,0.0,0.026,0.012,0.004,0.079,0.006,0.017,0.006,0.096,0.0,0.001,0.0,0.007,0.0
847,0,0,14,3,0,0,0,16,0,0,5,5,0.31247193,0.55899054,0.12853754,0.30434782608695654,0,3072,718,53,150,0,69,512,27,0,98,225,3.602,3.602,2.22,2.22,2.196,0.313,0.0,0.824,0.152,0.036,0.05,0.001,0.001,0.056,0.0,0.0,0.031,0.01,0.014,0.082,0.025,0.014,0.011,0.102,0.0,0.001,0.0,0.006,0.0
905,0,0,4,1,0,0,0,5,0,0,1,5,0.41329333,0.5083502,0.078356475,18.0,2,3060,642,37,78,0,69,413,26,0,38,200,3.935,3.935,2.185,2.185,2.154,0.312,0.0,0.82,0.181,0.059,0.065,0.0,0.003,0.045,0.002,0.0,0.036,0.006,0.005,0.079,0.012,0.008,0.016,0.078,0.0,0.002,0.0,0.0,0.0
631,0,13,33,2,0,0,1,33,1,1,11,5,0.14739285,0.54360217,0.309005,1.25,3,3092,780,72,221,0,159,610,26,0,160,182,3.383,3.383,2.095,2.095,2.516,0.233,0.0,0.781,0.113,0.078,0.033,0.0,0.004,0.05,0.001,0.0,0.031,0.022,0.009,0.059,0.019,0.013,0.005,0.1,0.0,0.003,0.0,0.004,0.001
2273,0,0,6,1,0,0,0,9,0,0,1,1,0.378069,0.5054123,0.116518706,1.0,0,3064,673,36,131,0,76,468,27,1,92,208,3.826,3.826,2.483,2.483,2.185,0.309,0.0,0.82,0.165,0.052,0.037,0.0,0.003,0.067,0.0,0.001,0.046,0.021,0.015,0.048,0.024,0.007,0.01,0.089,0.0,0.001,0.0,0.006,0.0
2673,0,9,26,0,0,0,1,27,0,0,11,11,0.22489712,0.5749663,0.20013657,0.8181818181818182,1,3069,762,84,219,0,162,567,25,0,127,160,3.421,3.421,2.226,2.226,2.731,0.21,0.0,0.765,0.122,0.076,0.031,0.0,0.001,0.058,0.0,0.0,0.034,0.017,0.012,0.073,0.02,0.007,0.004,0.109,0.0,0.003,0.0,0.005,0.0
2629,0,0,8,3,0,0,0,4,0,0,3,3,0.14412606,0.5631166,0.29275733,0.23076923076923078,0,3090,665,51,107,0,57,464,26,0,53,197,3.826,3.826,2.293,2.293,2.277,0.296,0.0,0.813,0.164,0.026,0.041,0.0,0.002,0.048,0.002,0.0,0.023,0.002,0.009,0.116,0.017,0.009,0.003,0.156,0.0,0.0,0.0,0.003,0.0
162,0,4,12,0,9,0,3,10,0,0,8,7,0.3072243,0.53433746,0.15843822,4.5,4,3069,679,42,165,2,110,485,26,1,80,222,3.791,3.791,2.497,2.497,2.109,0.327,0.0,0.829,0.172,0.059,0.059,0.006,0.0,0.043,0.0,0.0,0.035,0.01,0.022,0.068,0.015,0.012,0.018,0.082,0.0,0.004,0.0,0.007,0.009
2878,0,1,16,0,0,0,0,16,0,0,1,5,0.38276154,0.54387486,0.07336357,2.125,1,3071,666,42,144,0,82,455,26,0,69,208,3.904,3.904,2.546,2.546,2.191,0.312,0.0,0.821,0.158,0.045,0.044,0.003,0.002,0.066,0.002,0.0,0.026,0.015,0.008,0.074,0.021,0.021,0.009,0.096,0.0,0.0,0.002,0.0,0.0
219,0,36,2,2,0,2,0,13,0,0,5,17,0.25148955,0.48797396,0.2605365,0.6666666666666666,0,3058,669,33,144,8,275,481,27,1,133,192,3.8,3.8,2.407,2.407,2.11,0.287,0.0,0.808,0.139,0.163,0.033,0.0,0.001,0.051,0.0,0.0,0.037,0.03,0.048,0.009,0.016,0.01,0.01,0.079,0.0,0.007,0.001,0.007,0.0
1414,0,1,13,0,0,0,3,14,0,0,3,9,0.07489816,0.5212392,0.40386266,0.17647058823529413,0,3064,710,63,199,0,120,508,27,0,95,158,3.603,3.603,2.173,2.173,2.545,0.223,0.0,0.771,0.124,0.068,0.037,0.0,0.001,0.063,0.0,0.0,0.038,0.021,0.02,0.068,0.011,0.011,0.008,0.077,0.0,0.001,0.001,0.008,0.0
3711,0,0,5,0,0,0,0,6,0,0,2,0,0.43750376,0.47294357,0.08955263,0.9333333333333333,1,3094,685,42,87,0,57,500,27,0,47,181,3.691,3.691,2.132,2.132,2.362,0.264,0.0,0.796,0.145,0.023,0.035,0.009,0.0,0.074,0.006,0.0,0.048,0.016,0.004,0.079,0.025,0.009,0.016,0.133,0.0,0.0,0.0,0.007,0.0
2266,0,0,22,1,0,0,1,33,0,0,8,4,0.40225077,0.50035024,0.09739903,0.6428571428571429,1,3079,750,44,189,0,83,565,27,0,132,175,3.5,3.5,2.192,2.192,2.604,0.233,0.0,0.78,0.125,0.064,0.035,0.001,0.0,0.047,0.0,0.0,0.033,0.019,0.013,0.079,0.024,0.015,0.009,0.088,0.0,0.0,0.0,0.008,0.0
2555,0,0,10,0,0,0,0,13,0,0,7,1,0.08133046,0.6254715,0.29319805,5.0,1,3061,683,41,139,0,70,489,26,0,84,184,3.744,3.744,2.222,2.222,2.355,0.269,0.0,0.799,0.173,0.054,0.029,0.0,0.001,0.048,0.003,0.0,0.029,0.025,0.004,0.061,0.016,0.019,0.01,0.092,0.0,0.001,0.001,0.003,0.0
1233,0,0,9,1,0,0,0,11,0,0,16,7,0.30057257,0.50865954,0.19076788,6.0,0,3086,711,66,141,0,101,510,27,0,103,148,3.594,3.594,2.25,2.25,2.663,0.208,0.0,0.761,0.11,0.032,0.042,0.006,0.004,0.068,0.003,0.0,0.053,0.041,0.015,0.046,0.023,0.018,0.027,0.15,0.0,0.001,0.001,0.0,0.0
925,0,0,13,1,0,0,0,12,0,0,3,0,0.5614492,0.38380674,0.054744005,0.4444444444444444,4,3078,725,40,136,0,64,529,27,0,106,205,3.542,3.542,2.189,2.189,2.409,0.283,0.0,0.808,0.146,0.039,0.041,0.001,0.004,0.048,0.001,0.003,0.04,0.015,0.068,0.019,0.022,0.011,0.007,0.11,0.0,0.0,0.0,0.011,0.0
3813,0,0,13,0,0,0,0,14,0,0,6,0,0.10794531,0.6701542,0.22190046,1.3636363636363635,0,3001,662,33,97,0,72,471,27,0,50,152,3.742,3.742,1.993,1.993,2.617,0.23,0.0,0.773,0.128,0.083,0.021,0.002,0.002,0.054,0.0,0.0,0.023,0.012,0.003,0.115,0.035,0.014,0.002,0.13,0.0,0.002,0.0,0.003,0.0
547,0,12,6,0,0,0,0,11,0,0,5,1,0.5371794,0.3912406,0.07157997,13.0,7,3046,669,38,108,0,116,457,26,0,77,231,3.789,3.789,2.308,2.308,1.997,0.345,0.0,0.837,0.182,0.069,0.058,0.0,0.001,0.046,0.003,0.001,0.033,0.007,0.006,0.073,0.018,0.012,0.006,0.079,0.0,0.0,0.001,0.007,0.0
2118,0,0,26,0,0,0,0,31,0,0,10,0,0.12487172,0.49235156,0.3827767,11.0,1,3093,763,50,181,0,94,573,26,1,153,167,3.425,3.425,2.07,2.07,2.659,0.219,0.0,0.771,0.117,0.048,0.039,0.001,0.001,0.058,0.0,0.0,0.039,0.014,0.022,0.062,0.014,0.008,0.007,0.14,0.0,0.005,0.0,0.004,0.0
1613,0,0,28,17,0,0,0,13,0,0,10,13,0.18811506,0.6240257,0.1878592,0.375,1,3036,725,69,228,15,93,532,27,0,108,171,3.548,3.548,2.509,2.509,2.491,0.236,0.0,0.781,0.166,0.076,0.044,0.0,0.003,0.033,0.0,0.0,0.04,0.018,0.014,0.046,0.007,0.004,0.01,0.094,0.0,0.0,0.0,0.019,0.0
3158,0,0,1,1,0,1,0,17,0,0,7,5,0.020462874,0.6212674,0.35826978,0.7272727272727273,0,3085,714,29,146,0,121,527,27,1,106,201,3.613,3.613,2.126,2.126,2.356,0.282,0.0,0.807,0.164,0.118,0.046,0.0,0.0,0.049,0.0,0.0,0.025,0.008,0.057,0.029,0.008,0.006,0.004,0.078,0.0,0.006,0.0,0.003,0.0
1362,0,4,5,0,0,0,2,6,0,0,5,3,0.05525966,0.41669163,0.52804875,1.2,0,3077,653,55,135,1,125,453,27,1,58,212,3.93,3.93,3.248,3.248,2.1,0.325,0.0,0.826,0.145,0.077,0.067,0.0,0.002,0.064,0.0,0.002,0.025,0.009,0.003,0.098,0.021,0.009,0.006,0.103,0.0,0.002,0.0,0.005,0.006
568,0,0,12,0,0,0,0,11,0,0,1,1,0.12840667,0.57107407,0.3005193,6.333333333333333,0,3083,668,40,128,0,62,443,26,0,64,225,3.891,3.891,2.428,2.428,2.176,0.337,0.0,0.833,0.174,0.046,0.049,0.003,0.001,0.049,0.0,0.0,0.034,0.003,0.004,0.076,0.039,0.012,0.009,0.099,0.0,0.0,0.0,0.006,0.0
1094,0,0,14,1,0,0,0,13,0,0,0,7,0.4093215,0.5438893,0.04678923,0.45454545454545453,3,3084,685,44,135,0,68,468,27,0,71,190,3.778,3.778,2.293,2.293,2.338,0.277,0.0,0.804,0.2,0.032,0.044,0.0,0.0,0.048,0.0,0.0,0.019,0.015,0.01,0.069,0.02,0.019,0.007,0.092,0.0,0.0,0.0,0.001,0.0
3100,0,2,31,1,0,1,0,34,0,0,9,11,0.52862525,0.39141983,0.07995491,3.3333333333333335,6,3093,761,62,252,0,105,572,27,0,133,232,3.474,3.474,2.285,2.285,2.245,0.305,0.0,0.821,0.134,0.078,0.058,0.0,0.001,0.042,0.0,0.0,0.03,0.013,0.013,0.06,0.018,0.004,0.004,0.097,0.0,0.007,0.0,0.007,0.003
1494,0,0,4,0,0,0,0,4,0,0,3,4,0.2078249,0.5828611,0.20931405,1.1111111111111112,1,3090,660,37,98,0,70,454,27,0,61,194,3.898,3.898,2.341,2.341,2.164,0.294,0.0,0.811,0.156,0.052,0.058,0.002,0.003,0.083,0.005,0.0,0.026,0.009,0.008,0.065,0.029,0.018,0.011,0.089,0.0,0.002,0.0,0.005,0.0
1336,0,1,5,1,0,0,0,6,0,0,4,4,0.3111991,0.59469736,0.09410351,4.0,0,3100,676,24,91,3,60,472,26,1,58,193,3.786,3.786,2.136,2.136,2.331,0.286,0.0,0.808,0.141,0.046,0.033,0.003,0.001,0.047,0.0,0.0,0.041,0.013,0.031,0.053,0.031,0.01,0.012,0.111,0.0,0.0,0.0,0.01,0.0
3366,0,0,28,7,0,0,0,25,0,0,6,2,0.44140315,0.51159847,0.046998408,2.0,0,3060,703,47,145,0,75,515,27,0,82,183,3.636,3.636,2.22,2.22,2.399,0.26,0.0,0.795,0.137,0.043,0.038,0.001,0.0,0.043,0.001,0.0,0.03,0.017,0.014,0.07,0.031,0.026,0.01,0.094,0.0,0.001,0.0,0.001,0.0
2859,0,0,23,1,0,0,1,21,0,0,6,1,0.4823504,0.4673427,0.05030685,2.25,0,3061,719,52,157,0,61,520,25,0,99,205,3.591,3.591,2.344,2.344,2.319,0.285,0.0,0.809,0.161,0.029,0.054,0.0,0.0,0.029,0.001,0.0,0.032,0.017,0.024,0.057,0.021,0.006,0.008,0.111,0.0,0.001,0.0,0.001,0.003
1860,0,0,6,1,0,0,0,9,0,0,1,1,0.378069,0.5054123,0.116518706,1.0,0,3064,673,36,131,0,76,468,27,1,92,208,3.826,3.826,2.483,2.483,2.185,0.309,0.0,0.82,0.165,0.052,0.037,0.0,0.003,0.067,0.0,0.001,0.046,0.021,0.015,0.048,0.024,0.007,0.01,0.089,0.0,0.001,0.0,0.006,0.0
611,0,2,28,2,0,2,4,25,0,0,7,14,0.3180168,0.58572745,0.09625581,8.0,1,3008,712,61,183,0,95,507,27,0,100,203,3.601,3.601,2.269,2.269,2.239,0.285,0.0,0.809,0.15,0.055,0.032,0.0,0.0,0.042,0.001,0.0,0.039,0.013,0.01,0.06,0.021,0.015,0.013,0.081,0.0,0.0,0.0,0.0,0.0
1826,0,0,25,2,0,2,0,27,1,0,17,8,0.47277433,0.468204,0.059021644,1.0588235294117647,1,3065,691,62,188,6,81,498,26,0,107,174,3.795,3.795,2.588,2.588,2.408,0.252,0.0,0.789,0.146,0.043,0.049,0.001,0.0,0.043,0.001,0.0,0.032,0.02,0.009,0.064,0.025,0.012,0.004,0.126,0.0,0.001,0.0,0.009,0.0
